,place,latitude,longitude
0,Aberdeen,57.1452452,-2.0913744
1,Aix-en-Provence,43.5298424,5.4474738
2,Albany,42.6511674,-73.7549679
3,Albi,43.9277552,2.147899
4,Alexandria,31.199004,29.894378
5,Allegheny City,35.9884389,-82.6673629
6,Amarillo,35.2072185,-101.8338245
7,Amersfoort,52.1637739,5.39658794935
8,Antheit,50.5512026,5.2358517
9,Argentan,48.7428859,-0.0223694
10,Argenteuil,48.9479069,2.2481797
11,Aschaffenburg,49.9740542,9.1493636
12,Asheville,35.6009498,-82.554016
13,Athens,39.3292396,-82.1012554
14,Atlantic City,39.3642852,-74.422935
15,Atuona,-9.8037346,-139.0425736
16,Augusta,48.3668041,10.8986971
17,Auvers-sur-Oise,49.0701875,2.1718687
18,Baltimore,39.2908816,-76.6107589
19,Barcelona,41.3825596,2.1771353
20,Basel,47.5581077,7.5878261
21,Baumgarten,53.8121231,11.8710662
22,Beijing,39.9059631,116.391248
23,Belgrade,44.8178787,20.4568089
24,Bennington,42.8783183,-73.1971691
25,Berkeley,37.8708393,-122.2728638
26,Berlin,52.5170365,13.3888599
27,Berlin-Charlottenburg,52.5044579,13.3033738
28,Bern,46.9482713,7.4514512
29,Berne,46.9482713,7.4514512
30,Biella,45.5664109,8.0542758
31,Bologna,44.4936714,11.3430347
32,Borsod,48.3107772,20.7459785
33,Boston,42.3604823,-71.0595677
34,Bottrop,51.521581,6.929204
35,Boulder,40.0149856,-105.2705455
36,Boulogne-sur-Seine,48.83717055,2.24737352369
37,Bourges,47.0805693,2.398932
38,Bradford,53.7941567,-1.7494777
39,Braquis,49.1557486,5.6272748
40,Brighton,50.8220399,-0.137406
41,Bristol,51.453493,-2.5973936
42,Bronxville,40.9381544,-73.8320783
43,Brooklyn,25.06013005,-77.3124820417
44,Bruhl,50.8287139,6.9032947
45,Brussels,50.8465565,4.351697
46,Bucharest,44.4361414,26.1027202
47,Buffalo,42.8867166,-78.8783921
48,Cagnes-sur-Mer,43.6612012,7.1513834
49,Calanda,40.9394642,-0.2315611
50,Cambridge,52.2033051,0.124862
51,Canandaigua,42.8844625,-77.2783989
52,Capri,45.118845,7.331914
53,Captiva Island,26.5275781,-82.194817
54,Carmel,39.9788383,-86.1187309
55,Castleford,53.722353,-1.3512542
56,Chantelop-en-Brie,,
57,Charlotte,35.2270869,-80.8431267
58,Chatou,48.8987,2.15122
59,Cheyne Walk,51.3667716,0.3609263
60,Chicago,41.8755546,-87.6244211
61,Chihuahua,28.5000001,-106.0
62,Chur,46.855515,9.5254066
63,Cincinnati,39.1014537,-84.5124601
64,Civitavecchia,42.0937524,11.7922462
65,Clayton Green,53.7051931,-2.6432228
66,Cody,44.5263107,-109.0563922
67,Cologne,50.938361,6.959974
68,Corning,42.1428521,-77.0546902
69,Covent Garden,51.51288905,-0.122530486554
70,Coyoacan,19.330465,-99.152767
71,Cuernavaca,18.9218274,-99.2342281
72,Cuiseaux,46.4937782,5.3887887
73,Darien,41.0787079,-73.4692872
74,Dartford,51.4474858,0.2192446
75,Davos,46.7961744,9.8237266
76,Decatur,39.8454163,-88.952415
77,Deutschbaselitz,51.2872868,14.1476906
78,Dobbs Ferry,41.014542,-73.8726349
79,Donaueschingen,47.9481666,8.4998444
80,Dorchester,50.7111314,-2.4398485
81,Dresden,51.0493286,13.7381437
82,Druskininkai,54.0171932,23.9772282
83,Dublin,53.3497645,-6.2602731
84,Dusseldorf,51.2254018,6.7763137
85,Dvinsk,54.1458997,68.4033314
86,East Hampton,40.9637919,-72.1851728
87,Ein Hod,32.7005017,34.9825964
88,Encinitas,33.0369867,-117.2919817
89,Excelsior Springs,39.33921,-94.2261309
90,Fairfield,38.2493581,-122.0399662
91,Figueras,42.2666314,2.9638434
92,Floral Park,40.7237133,-73.7048531
93,Florence,43.7698712,11.2555757
94,Fontenay-aux-Roses,48.7911052,2.2870373
95,Fort Wayne,41.0799898,-85.1386014
96,Fox Chase,40.0812219,-75.0801727
97,Fribourg,46.8033192,7.16175552542
98,Gabrovo,42.8744219,25.3192189
99,Gallipolis,38.809803,-82.202369
100,Garches,48.8437486,2.1853699
101,Gif-sur-Yvette,48.7018823,2.134529
102,Giverny,49.0760895,1.5271014
103,Glen Ridge,40.805378,-74.2037565
104,Gotha,50.9462725,10.6945265
105,Grand Forks,47.9078244,-97.0592027
106,Grandin,47.2369226,-97.0014729
107,Groot-Zundert,,
108,Guanajuato,21.0,-100.9999999
109,Hamburg,53.550341,10.000654
110,Hanover,52.3744779,9.7385532
111,Harlem,40.8078786,-73.9454153
112,Hartford,41.7634935,-72.6830522
113,Hereford,52.0553813,-2.7151734
114,Highland Park,25.06425655,-77.3750774105
115,Hobitza,,
116,Hoboken,40.7433066,-74.0323751
117,Hope,33.6670616,-93.5915664
118,Ivančice,49.1015881,16.3776051
119,Jamaica,18.1850507,-77.3947692
120,Kansas City,39.0844687,-94.5630297
121,Katowice,50.2598987,19.0215852
122,Kendel,51.6010175,6.1926031
123,Kewanee,41.2455927,-89.9248302
124,Kiev,50.4501071,30.5240501
125,Kovno,54.8982139,23.9044817
126,Krefeld,51.3331205,6.5623343
127,La Baule-Escoublac,47.2843726,-2.3951594
128,La Jolla,32.8472711,-117.2742085
129,La Tour-de-Peilz,46.4548415,6.8599382
130,Lake Charles,30.2265949,-93.2173758
131,Lancaster,40.03813,-76.3056685
132,Laval,48.0710377,-0.7723498
133,Lawnton,40.258423,-76.8038605
134,Le Cannet,43.6130556,-0.0522221
135,Le Cateau-Cambresis,50.1017134,3.5399375
136,Le Havre,49.4938975,0.1079732
137,Leipzig,51.3391827,12.3810549
138,Leith,55.9725499,-3.1709491
139,Leningrad,42.8338834,59.0401358
140,Lessines,50.7123036,3.8301131
141,Lexington,38.0464066,-84.4970392
142,Limoges,45.8354243,1.2644847
143,Livorno,43.5426309,10.3160295
144,Locarno,46.1695112,8.7954217
145,London,51.5073219,-0.1276473
146,London England,51.5073219,-0.1276473
147,Long Island,40.8517821,-73.099185269
148,Los,46.9346642,7.4485217
149,Los Angeles,34.0543942,-118.2439408
150,Loten,59.17645845,5.39449821993
151,Lowell,42.6334247,-71.3161717
152,Lyon,45.7578137,4.8320114
153,Macklin,52.3368517,-109.9441991
154,Madrid,40.4167047,-3.7035824
155,Malaga,36.721086,-4.4220023
156,Malden,42.4250964,-71.0661629
157,Martha's Vineyard,41.3918832,-70.6208541786
158,Menton,43.7751405,7.4966252
159,Merion Square,40.00815345,-75.2879997758
160,Mesnil-Theribus,49.3029558,1.9889816
161,Meudon,48.8126229,2.2387564
162,Mexico City,19.4326009,-99.1333415
163,Minusio,46.1755251,8.8118196
164,Moinesti,46.4639915,26.4836320103
165,Monroe,38.2722313,-90.1792483
166,Montjustin,43.8488098,5.6348573
167,Montpellier,43.6112422,3.8767337
168,Montreal,45.4972159,-73.6103641
169,Moret-sur-Loing,48.36329575,2.81349268793
170,Moscow,55.7506828,37.6174976
171,Mougins,43.6008898,6.9963543
