,art_institution,art_movement,birthdate,birthplace,deathdate,deathplace,endyear,family_and_relatives,field,friends_and_co-workers,genre,image,influenced_by,influenced_on,link,name,nationality,official_site,painting_school,pupils,references,startyear,teachers,wikipedia
0,,[Byzantine Art],c.1360,,c.1430,"Moscow, Russian Federation",1427.0,,[painting],,[religious painting],https://uploads5.wikiart.org/images/andrei-rublev.jpg!Portrait.jpg,,,https://www.wikiart.org/en/andrei-rublev,Andrei Rublev,Russian,,,,,1390.0,,[ http://en.wikipedia.org/wiki/Andrei_Rublev ]
1,,"[Byzantine Art, Baroque]",,"Bily Kamin,Lviv Region, Ukraine",,Ukraine,1708.0,,[fresco],,[religious painting],https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/ivan-rutkovych,Ivan Rutkovych,Ukrainian,,[Zhovkva School of Artists],,,1667.0,,[ https://en.wikipedia.org/wiki/Ivan_Rutkovych ]
2,,[Pre-Romanesque Art],975,,,,,,,,,https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/ende,Ende,Spanish,,,,,,,[ https://en.wikipedia.org/wiki/Ende_(artist) ]
3,,[Romanesque Art],1050,,,,,,[illustration],,[miniature],https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/facundus,Facundus,Spanish,,,,,,,
4,,[Romanesque Art],1098,,17 September 1179,,,,[illustration],,[miniature],https://uploads4.wikiart.org/temp/6aeeaab9-eef7-4857-856d-59075a3b9ce5.jpg,,,https://www.wikiart.org/en/hildegard-of-bingen,Hildegard of Bingen,German,,,,,,,[ https://en.wikipedia.org/wiki/Hildegard_of_Bingen ]
5,,[Romanesque Art],c.1130,,c.1230,,,,"[goldsmith, enamel]",,,https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/nicholas-of-verdun,Nicholas of Verdun,French,,[Mosan school],,[www.visual-arts-cork.com],,,[ https://en.wikipedia.org/wiki/Nicholas_of_Verdun ]
6,,[Romanesque Art],c.1130,,1195,,,,[illustration],,[miniature],https://uploads8.wikiart.org/temp/7b50d6dc-a2cc-4b93-b13f-11673fec792f.jpg!Portrait.jpg,,,https://www.wikiart.org/en/herrad-of-landsberg,Herrad of Landsberg,German,,,,,,,[ https://en.wikipedia.org/wiki/Herrad_of_Landsberg ]
7,,[Romanesque Art],1187,,,,,,"[painting, illustration]",,[religious painting],https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/alberto-sotio,Alberto Sotio,Italian,,[Spoleto School],,,,,[ https://en.wikipedia.org/wiki/Alberto_Sotio ]
8,,[Romanesque Art],1200,,,,,,[illustration],,[miniature],https://uploads8.wikiart.org/temp/e05154e2-058d-4dbb-a1bf-f34025247389.jpg!Portrait.jpg,,,https://www.wikiart.org/en/claricia,Claricia,German,,,,,,,[ https://en.wikipedia.org/wiki/Claricia ]
9,,[Gothic Art],1284,"Siena, Italy",1344,"Avignon, France",,,"[painting, fresco]",,[religious painting],https://uploads2.wikiart.org/images/simone-martini.jpg,,,https://www.wikiart.org/en/simone-martini,Simone Martini,Italian,,[Sienese School],,,,,[ http://en.wikipedia.org/wiki/Simone_Martini ]
